time (min),RacPAK (%fret 100),	Cofactin (%fret 1000)
0,0.000267479,1.022679181
0.5,0.0002675,1.022679181
1.0,0.0185215,1.218132832
2.0,0.0435757,1.512139707
3.0,0.0476288,1.675953783
4.0,0.0414635,1.635283364
5.0,0.0421844,1.576672089
6.0,0.0401158,1.524401772
7.0,0.0370102,1.468309606
8.0,0.0368582,1.431432246
9.0,0.0359946,1.416240817
10.0,0.0345818,1.402342532
12.0,0.0330136,1.391001742
13.0,0.0350467,1.370800885
14.0,0.0349461,1.353071154
15.0,0.0349010,1.340475608
16.0,0.0334328,1.327880062
17.0,0.0315861,1.317813221
18.0,0.0303965,1.307779969
19.0,0.0317131,1.287545524
20.0,0.0329228,1.287708666
21.0,0.0324978,1.280189725
22.0,0.0284349,1.277776178
23.0,0.0265590,1.277948917
24.0,0.0300836,1.283169471
25.0,0.0335164,1.279534757
26.0,0.0346768,1.278457537
27.0,0.0308577,1.278582293
28.0,0.0233533,1.278769427
29.0,0.0230637,1.278956561
30.0,0.0241215,1.277860149
